Review,label
"Best mobile phone
Camera quality is very nice
Battery backup is very good
Sound quality is amazing.",positive
"Nice product with all features specially its looks and camera battery backup is good
You should buy it without any issues",positive
High quality camera😍,neutral
Camera Quality Is Improved Loving It,positive
Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on iPhone 15.,positive
Very nice,positive
Awesome photography experience. Battery backup is good . Display is much better than 14 version.,positive
"Just loved the product , colour , design is wow and camera is amazing , just clicked first picture of my grandmother 👵🏻 in portrait mode and results r here in front of you guys 😍😘",positive
Just go for it.Amazing one.Beautiful camera with super fast processor,positive
I love this phone. The camera is amazing: its I am so happy,positive
Worth the money,positive
Perfect product!,positive
Mind-blowing purchase,neutral
Just wow!,positive
Awesome,positive
Good choice,positive
Worth every penny,positive
Worth every penny,positive
Worth every penny,positive
Highly recommended,positive
"Awesome product very happy to hold this. Better In hand feel,matte finish.
Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.

60Hz display is a dealbreaker for some.Its not much noticeable.

Thank u Flipkart for the best deal and quick delivery.",positive
for me its 10 out of 10✨,neutral
Nice ❤️,positive
moving from android to apple is a surreal experience. still apple could focus on more flexibility towards the apps.,positive
"Totally happy!
Camera 5
Battery 5
Display 5
Design 5",positive
"best camera and battery is also very good
In love with dynamic Island
Type-c charging is very fast.
Overall best phone",positive
Simply premium.,neutral
"So beautiful, so elegant, just a vowww😍❤️",positive
Awesome camra quality superb camra 😊,positive
Simply Awesome 🤩,positive
Excellent,positive
Simply awesome,positive
Classy product,positive
Brilliant,positive
Brilliant,positive
Great product,positive
Awesome,positive
Fabulous!,positive
Really Nice,positive
Best in the market!,positive
Great!,positive
A perfect n balanced phone ❣️. Was thinking of switching to ios from last two years and yeah its worth buying the black beauty 🖤.,positive
This is my first iphone ever used loving it already this is worth it 🥰,positive
Nice 🙂🙂🙂🙂🙂,positive
Nice product,positive
It's performance is super and nice camera also a ok battery backup..,positive
"48 megapixel is lit🔥
Thin bessels compared to 14
Lesser in weight
Dynamic Island works perfectly
Good battery backup ⚡
My rating 5/5",positive
Nice phone good,positive
Awesome 🔥🔥☺️,positive
Their is nothing to explain about Apple iPhone nowadays everyone knows when ur comes to iPhone 15 is just amazing 🔥,positive
Worth every penny,positive
Classy product,positive
Simply awesome,positive
Awesome,positive
Wonderful,positive
Fabulous!,positive
Best in the market!,positive
Value-for-money,neutral
Just wow!,positive
Terrific,positive
"Awesome experience entering the apple ecosystem, below are some of the pros and cons
Pros~
2) camera is awesome and clicks good photos even in daylight and night
3) size is perfect and easy to handle
4) Apple ecosystem is the best
5) battery charging rate is good and not too slow, and battery backup is also lasting 1 day for a normal usage.
6) Dynamic Island is the best upgrade from 14.
7) texture and phone build quality has improved a lot

Cons~
1) sometimes phone gets heated but that is ma...
READ MORE",positive
Awesome phone powerful performance and battery backup are also very good no heating issue ☺️,positive
Awesome quality I am very happy. Thank you Flipkart.,positive
It looks so good in my hand !.......WAU?,positive
"Great Experience Flipkart I am giving 10 of 10 Camera, Sound, Screen... Transportation Mi note 9 pro Max to Iphone 15 .",positive
"Camera is good but not too good like other camera phone.
Performance is good but missed 90hz display.
Battery is good enough for a day use.
Sound is quite awesome like no other phones
Rest phone is good to go for.",positive
Awesome,positive
Camera quality top notch 👍,positive
Very nice product☺️☺️we loved the phone very much,positive
Camera 🔥,neutral
Mind-blowing purchase,neutral
Great product,positive
Classy product,positive
Fabulous!,positive
Great product,positive
Worth every penny,positive
Classy product,positive
Perfect product!,positive
Good choice,positive
Just wow!,positive
"Writing this review after extensive usage. Hope it helps interested buyers decide.
1. Display:- 4/5 (Great display but limited to 60Hz in 2023-24)
2. Camera:- 4/5 (Great cameras but no telephoto at this price segment but this time Apple really nailed it with the 15 series 24mp shots are very sharp and detailed)
3. Performance:- 5/5 (One of the fastest SOC available right now)
4. Battery:- 3/5 (Average battery life also charger not included in the box and still charges slowly with the 20w bric...
READ MORE",negative
Love the performance 👍,positive
Pic Quality Awesome,positive
Absolutely gorgeous 😻,positive
"Just upgraded from iphone 12 to 15 and I totally loved this 15 series.
Camera:- No doubt iphones camera are best of any other smartphone, primary camera is now 48mp which gives quite sharp images, 2x in portrait mode is definitely a game changer in base varient.
Battery:- 3349 mAH is quite better as compared to older versions.
Performance:- Apple improve performance by introducing A-16 bionic chip, no doubt performance is on top.
Display:- In display we get dynamic island which gives phone mo...
READ MORE",positive
Best in class..! Superb camera and performance. Fine grip.,positive
Absolutely premium product..just wow,positive
It's amazing nd also the delivery boy was very humble.,positive
Thanks Flipkart I m glad such a beautiful iPhone 15,positive
Such a amazing phone 🫶🏻,positive
Worth the money,positive
Fabulous!,positive
Super!,positive
Terrific purchase,positive
Highly recommended,positive
Terrific,positive
Classy product,positive
Highly recommended,positive
Just wow!,positive
Excellent,positive
Best for regular usage,positive
"Switch from android to iPhone😍
Just wow. Camera and battery backup is outstanding for daily use",positive
